"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"05/20/2025","Qualified Dividend","EBR","ELETROBRAS ADR ADR FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$130.48"
"05/15/2025","Buy","IEMG","ISHARES CORE MSCI EMERGING ETF","451","$57.2817","","-$25834.04"
"05/07/2025","Qualified Dividend","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$94.06"
"05/02/2025","Sell","ANPDY","ANTA SPORTS PRODS LTD FSPONSORED ADR 1 ADR REPS 25 ORD SHS","35","$294.59","$7.25","$10303.40"
"05/02/2025","Sell","BYDDY","BYD CO LTD FUNSPONSORED ADR 1 ADR REPS 2 ORD SHS","105","$98.52","$7.26","$10337.34"
"04/30/2025","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$11.85"
"04/25/2025","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$43.47"
"04/23/2025","Qualified Dividend","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$78.52"
"04/23/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","103","$119.3613","","-$12294.21"
"04/23/2025","Sell","IEMG","ISHARES CORE MSCI EMERGING ETF","41","$53.3851","$0.06","$2188.73"
"04/22/2025","Sell","FN","FABRINET F","27","$179.00","$0.12","$4832.88"
"04/22/2025","Sell","MMYT","MAKEMYTRIP LIMITED, MA F","51","$104.01","$0.16","$5304.35"
"04/16/2025","Sell","BTSGY","BTS GROUP HLDGS PUB CO FSPONSORED ADR 1 ADR REPS ...100 ORD SHS","119","$3.08","$0.03","$366.49"
"04/10/2025","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$103.69"
"04/08/2025","Sell","SONY","SONY GROUP CORP FSPONSORED ADR 1 ADR REPS 1 ORD SHS","6","$21.90","","$131.40"
"04/08/2025","Sell","CCJ","CAMECO CORP F","3","$38.25","","$114.75"
"03/27/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$2.14"
"03/27/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$1.32"
"03/27/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$0.03"
"03/27/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$82.01"
"03/27/2025","Qualified Dividend","YUMC","YUM CHINA HLDGS INC","","","","$23.76"
"03/20/2025","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$115.92"
"03/19/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","1","$142.61","","-$142.61"
"03/19/2025","Buy","SONY","SONY GROUP CORP FSPONSORED ADR 1 ADR REPS 1 ORD SHS","6","$24.67","","-$148.02"
"03/19/2025","Buy","CCJ","CAMECO CORP F","3","$44.04","","-$132.12"
"02/27/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$84.18"
"02/19/2025","Qualified Dividend","WIT","WIPRO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$48.26"
"01/31/2025","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$11.85"
"01/21/2025","Qualified Dividend","EBR","ELETROBRAS ADR FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$115.94"
"01/09/2025","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$93.04"
"01/03/2025","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$178.96"
"01/03/2025","Sell","IEMG","ISHARES CORE MSCI EMERGING ETF","40","$52.521","$0.07","$2100.77"
"12/30/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$61.56"
"12/20/2024","Cash Dividend","IEMG","ISHARES CORE MSCI EMERGING ETF","","","","$1319.49"
"12/17/2024","Qualified Dividend","YUMC","YUM CHINA HLDGS INC","","","","$15.84"
"12/13/2024","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$41.33"
"11/29/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$50.42"
"11/29/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$13.91"
"11/29/2024","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$44.20"
"11/07/2024","Qualified Dividend","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$81.30"
"10/31/2024","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$8.69"
"10/09/2024","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$95.60"
"10/07/2024","Non-Qualified Div","ANPDY","ANTA SPORTS PRODS LTD FSPONSORED ADR 1 ADR REPS 25 ORD SHS","","","","$132.61"
"09/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$9.54"
"09/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$58.13"
